step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,41.060,22,17.667,30,20.341,22,129,3.052,6.964,12.643,0.462,0.447,0.682,13.254
2,15.761,8,6.389,10,8.325,8,56,1.047,2.785,5.444,0.158,0.197,0.297,5.716
3,8.081,4,3.155,5,4.399,4,30,0.528,1.357,2.907,0.080,0.102,0.154,3.055
