accepted_ministeps,converged,dt_days,iterations,pressure_max,pressure_min,step,step_elapsed_seconds,time_days,well_count
4,True,1.0,8,35180273.38660959,31344142.365991116,1,0.6534589999937452,1.0,2
2,True,2.0,6,37411293.18487767,29920203.911003955,2,0.45879229999991367,3.0,2
1,True,2.0,3,38819665.661536604,29156830.072582778,3,0.21856839999963995,5.0,2
2,True,5.0,5,40047518.79127556,28055824.777629323,4,0.4119051999950898,10.0,2
2,True,5.0,5,40431409.35137166,27552269.5937848,5,0.41616800000338117,15.0,2
2,True,10.0,7,41373683.78738681,27076792.98148545,6,0.5577803999985917,25.0,2
1,True,10.0,4,41645844.61839229,26752242.68012106,7,0.2779289999962202,35.0,2
1,True,10.0,4,41721862.13470579,26512186.120741572,8,0.2809594999998808,45.0,2
1,True,10.0,3,41766504.19314626,26363851.508266404,9,0.23123320000013337,55.0,2
1,True,10.0,3,41703548.58252067,26296069.837971523,10,0.20849349999480182,65.0,2
2,True,25.0,9,41593208.44808718,26389272.282168567,11,0.6377390000052401,90.0,2
2,True,25.0,7,41565754.76287525,26675735.893532615,12,0.5108978999996907,115.0,2
1,True,25.0,4,41621059.936249,27009732.51689118,13,0.2690827000042191,140.0,2
1,True,25.0,5,41677674.654433556,27346403.1796976,14,0.3288087999972049,165.0,2
1,True,25.0,5,41781101.894692264,27683453.82415059,15,0.35609049999766285,190.0,2
1,True,25.0,4,41889781.30957722,28095786.95150768,16,0.27142640000238316,215.0,2
1,True,25.0,5,42058354.06411225,28497535.31958488,17,0.35523380000086036,240.0,2
1,True,25.0,5,42225170.383208215,28874980.960222654,18,0.5787713000026997,265.0,2
1,True,25.0,4,42411101.94055543,29298960.434022572,19,0.6646365000051446,290.0,2
1,True,25.0,5,42632476.644422755,29695644.068550598,20,0.571117100000265,315.0,2
1,True,25.0,3,42866324.01686692,30073227.276960254,21,0.23284300000523217,340.0,2
1,True,25.0,4,43101142.85743446,30446982.70620672,22,0.35065279999980703,365.0,2
1,True,20.0,4,43289083.516655855,30743986.678013317,23,0.255628799997794,385.0,2
1,True,20.0,2,43477420.507256754,31033956.2809333,24,0.1433194999990519,405.0,2
1,True,20.0,3,43662235.02964328,31319611.535603035,25,0.206253000003926,425.0,2
1,True,20.0,3,43846263.41368788,31604323.436187737,26,0.20636340000055498,445.0,2
1,True,20.0,3,44033994.53091228,31887139.940677922,27,0.24088969999866094,465.0,2
1,True,20.0,3,44223073.07624579,32164202.886551086,28,0.2017524000038975,485.0,2
1,True,20.0,3,44411147.86434943,32437866.90865525,29,0.19793490000301972,505.0,2
1,True,20.0,3,44599523.73113248,32709075.102036603,30,0.2252842000016244,525.0,2
1,True,20.0,4,44788630.75623103,32981020.326533757,31,0.2797236999977031,545.0,2
1,True,20.0,4,44980058.49840068,33251216.23754598,32,0.23969539999961853,565.0,2
1,True,20.0,3,45172140.12179969,33515351.28869129,33,0.1774574000010034,585.0,2
1,True,20.0,2,45362941.43229319,33775237.97132697,34,0.1510186999948928,605.0,2
1,True,20.0,2,45553649.14026219,34039055.88446501,35,0.15660829999978887,625.0,2
1,True,13.0,3,45679283.75059277,34212530.22145167,36,0.20454500000050757,638.0,2
