step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
63,10.624,4,4.529,5,5.540,4,51,0.555,1.406,3.698,0.093,0.203,0.296,3.990
64,7.577,3,4.107,4,2.750,3,14,0.719,0.985,1.553,0.077,0.057,0.080,1.626
65,11.653,5,5.471,6,5.398,5,32,0.785,1.714,3.255,0.120,0.138,0.191,3.439
66,7.620,3,4.059,4,2.974,3,16,0.586,1.011,1.689,0.062,0.062,0.094,1.775
67,7.289,3,3.645,4,3.164,3,19,0.480,1.016,1.825,0.064,0.074,0.106,1.922
68,12.591,5,5.816,6,6.115,5,48,0.660,1.753,3.839,0.115,0.198,0.271,4.097
69,7.346,3,3.760,4,3.076,3,19,0.511,1.017,1.799,0.067,0.075,0.110,1.897
70,7.545,3,4.224,4,2.831,3,16,0.491,0.971,1.615,0.065,0.062,0.092,1.702
71,13.687,5,5.755,6,7.249,5,68,0.683,1.735,4.861,0.112,0.271,0.392,5.255
72,7.559,3,4.000,4,3.063,3,19,0.496,0.955,1.757,0.066,0.078,0.108,1.853
73,7.673,3,3.837,4,3.313,3,21,0.523,1.098,2.076,0.070,0.088,0.121,2.183
74,12.664,5,6.047,6,5.939,5,49,0.678,1.628,3.778,0.106,0.195,0.280,4.043
75,10.607,4,5.103,5,4.880,4,40,0.623,1.380,3.174,0.090,0.162,0.227,3.390
76,9.419,4,4.968,5,3.858,4,22,0.593,1.316,2.225,0.088,0.090,0.125,2.340
77,7.887,3,4.002,4,3.397,3,26,0.488,0.980,2.108,0.072,0.107,0.149,2.244
78,5.570,2,3.075,3,2.092,2,13,0.403,0.690,1.262,0.044,0.052,0.076,1.329
79,7.934,3,4.102,4,3.285,3,24,0.546,1.004,2.036,0.074,0.097,0.138,2.163
80,13.259,5,6.039,6,6.529,5,48,0.691,1.764,4.134,0.115,0.204,0.289,4.437
81,8.534,3,3.981,4,4.052,3,39,0.502,0.997,2.738,0.064,0.156,0.220,2.958
82,12.131,5,5.947,6,5.382,5,39,0.801,1.660,3.321,0.118,0.161,0.226,3.529
83,8.957,3,3.976,4,4.487,3,42,0.495,1.066,3.081,0.067,0.169,0.244,3.328
84,12.729,5,6.134,6,5.933,5,47,0.662,1.667,3.861,0.114,0.190,0.270,4.120
85,11.190,4,5.254,5,5.355,4,51,0.581,1.316,3.562,0.098,0.208,0.298,3.855
86,7.905,3,4.176,4,3.255,3,23,0.475,1.005,1.983,0.071,0.093,0.136,2.106
87,11.218,4,5.152,5,5.476,4,51,0.589,1.345,3.655,0.089,0.212,0.301,3.956
88,5.668,2,3.135,3,2.134,2,14,0.398,0.649,1.242,0.042,0.057,0.079,1.317
89,9.488,4,4.915,5,3.990,4,23,0.583,1.304,2.257,0.087,0.094,0.136,2.377
90,8.267,3,3.972,4,3.791,3,32,0.503,1.028,2.437,0.063,0.131,0.184,2.611
91,8.155,3,4.006,4,3.668,3,28,0.481,1.059,2.350,0.063,0.117,0.161,2.500
92,30.305,9,10.177,10,19.091,9,219,1.037,3.296,14.125,0.203,0.892,1.257,15.562
93,18.015,6,7.049,7,10.135,6,113,0.831,2.035,7.171,0.138,0.456,0.643,7.875
94,5.586,2,3.031,3,2.154,2,14,0.402,0.649,1.273,0.048,0.057,0.079,1.343
95,20.867,4,5.108,5,15.172,4,214,0.587,1.412,12.038,0.102,0.873,1.234,13.582
96,30.339,9,10.102,10,19.052,9,238,1.185,3.019,13.974,0.203,0.960,1.367,15.581
97,8.349,3,3.915,4,3.917,3,33,0.517,1.029,2.508,0.069,0.133,0.190,2.694
98,11.142,4,4.980,5,5.582,4,50,0.580,1.398,3.803,0.088,0.202,0.286,4.086
99,37.794,6,7.034,7,29.960,6,444,0.801,2.043,24.408,0.144,1.816,2.484,27.549
100,15.505,4,5.183,5,9.747,4,132,0.574,1.345,7.383,0.088,0.527,0.743,8.276
101,5.632,2,3.083,3,2.146,2,14,0.402,0.674,1.317,0.048,0.055,0.084,1.390
102,7.922,3,4.157,4,3.179,3,20,0.586,1.028,1.929,0.069,0.083,0.117,2.034
103,15.168,4,4.998,5,9.595,4,120,0.575,1.375,7.152,0.088,0.480,0.689,7.982
104,21.299,5,6.131,6,14.404,5,195,0.765,1.753,11.071,0.118,0.785,1.089,12.385
105,8.165,3,3.892,4,3.761,3,30,0.512,1.000,2.419,0.068,0.122,0.171,2.580
106,13.837,5,5.992,6,7.164,5,63,0.681,1.781,4.972,0.119,0.264,0.357,5.335
107,21.182,7,8.099,8,12.168,7,132,0.915,2.447,8.584,0.166,0.530,0.747,9.387
108,5.570,2,3.159,3,2.013,2,11,0.398,0.698,1.223,0.042,0.046,0.063,1.281
109,7.891,3,4.051,4,3.341,3,25,0.498,1.005,2.112,0.063,0.100,0.140,2.241
110,7.780,3,4.175,4,3.135,3,19,0.471,1.034,1.865,0.064,0.075,0.111,1.967
111,8.576,3,3.993,4,4.088,3,36,0.496,1.111,2.756,0.070,0.144,0.207,2.962
112,7.924,3,4.122,4,3.292,3,20,0.509,1.055,2.065,0.066,0.086,0.121,2.172
113,12.593,4,4.988,5,6.987,4,73,0.618,1.376,4.990,0.089,0.296,0.425,5.461
114,22.913,6,7.128,7,14.971,6,183,0.814,2.085,11.343,0.180,0.740,1.049,12.611
115,30.200,11,12.051,12,16.935,11,170,1.213,3.773,11.777,0.246,0.689,0.980,12.878
116,33.788,11,12.119,12,20.437,11,222,1.232,3.805,14.644,0.275,0.898,1.260,16.091
117,17.078,5,6.138,6,10.250,5,126,0.689,1.687,7.487,0.112,0.503,0.716,8.338
118,23.501,8,9.216,9,13.316,8,132,0.969,2.669,9.368,0.176,0.553,0.773,10.223
119,7.684,3,4.031,4,3.128,3,21,0.525,1.012,1.905,0.065,0.085,0.124,2.018
120,8.679,3,4.003,4,4.191,3,40,0.484,1.037,2.857,0.064,0.161,0.229,3.085
121,56.396,21,25.394,25,28.135,21,255,2.867,7.149,18.680,0.486,1.033,1.461,20.195
122,26.001,9,11.164,11,13.610,9,134,1.228,3.071,9.468,0.215,0.539,0.771,10.296
123,7.868,3,4.120,4,3.253,3,18,0.496,1.035,2.008,0.071,0.076,0.105,2.106
124,24.692,10,11.041,11,12.467,10,102,1.185,3.525,8.050,0.235,0.417,0.585,8.614
125,8.406,3,4.069,4,3.744,3,32,0.592,1.033,2.425,0.075,0.127,0.184,2.604
126,15.502,5,5.819,6,9.013,5,100,0.669,1.715,6.342,0.123,0.410,0.574,6.988
127,16.935,6,7.093,7,9.069,6,91,0.773,2.005,6.138,0.144,0.369,0.518,6.690
128,19.595,7,8.046,8,10.565,7,103,0.983,2.417,7.276,0.181,0.424,0.594,7.892
129,11.953,5,5.962,6,5.313,5,37,0.678,1.665,3.249,0.126,0.148,0.219,3.452
130,13.983,5,5.917,6,7.368,5,68,0.697,1.742,5.123,0.107,0.278,0.398,5.524
131,26.696,5,6.228,6,19.701,5,285,0.767,1.755,15.763,0.127,1.152,1.586,17.733
132,9.440,4,5.061,5,3.791,4,21,0.588,1.314,2.179,0.095,0.084,0.120,2.289
133,10.186,4,5.055,5,4.559,4,35,0.572,1.344,2.892,0.085,0.140,0.200,3.076
134,10.564,4,4.970,5,4.999,4,44,0.595,1.324,3.306,0.093,0.179,0.250,3.548
135,11.747,4,5.044,5,6.100,4,61,0.602,1.296,4.138,0.093,0.251,0.354,4.504
