step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
63,12.345,4,6.067,5,5.644,4,51,0.633,1.442,3.903,0.087,0.205,0.298,4.201
64,8.715,3,5.320,4,2.669,3,14,0.726,0.926,1.508,0.067,0.054,0.077,1.578
65,13.090,5,7.515,6,4.943,5,32,0.632,1.603,2.990,0.105,0.126,0.183,3.158
66,8.560,3,5.305,4,2.797,3,16,0.458,0.973,1.659,0.066,0.064,0.092,1.740
67,8.736,3,5.201,4,3.046,3,19,0.490,1.030,1.819,0.078,0.074,0.108,1.917
68,15.277,5,8.116,6,6.474,5,48,0.687,1.723,4.218,0.111,0.204,0.293,4.502
69,8.580,3,5.019,4,3.096,3,19,0.465,0.963,1.782,0.065,0.076,0.110,1.881
70,8.680,3,5.406,4,2.800,3,16,0.473,0.957,1.629,0.067,0.064,0.092,1.712
71,16.115,5,8.208,6,7.251,5,68,0.656,1.644,4.911,0.127,0.272,0.391,5.311
72,9.125,3,5.609,4,3.036,3,19,0.481,1.023,1.807,0.065,0.079,0.108,1.904
73,9.006,3,5.503,4,3.046,3,21,0.458,0.952,1.855,0.063,0.085,0.120,1.964
74,14.989,5,8.449,6,5.875,5,49,0.666,1.599,3.822,0.113,0.198,0.282,4.091
75,12.339,4,6.980,5,4.768,4,40,0.591,1.305,3.089,0.091,0.161,0.230,3.312
76,11.610,4,7.166,5,3.880,4,22,0.564,1.360,2.244,0.092,0.088,0.126,2.356
77,9.507,3,5.623,4,3.422,3,26,0.462,1.013,2.151,0.066,0.107,0.150,2.290
78,6.774,2,4.323,3,2.074,2,13,0.377,0.648,1.207,0.044,0.055,0.077,1.273
79,9.624,3,5.934,4,3.215,3,24,0.476,0.959,2.008,0.061,0.096,0.136,2.131
80,15.132,5,8.506,6,5.903,5,48,0.722,1.682,3.809,0.117,0.198,0.276,4.076
81,10.022,3,5.583,4,3.965,3,39,0.474,0.960,2.670,0.064,0.159,0.227,2.895
82,14.443,5,8.305,6,5.485,5,39,0.653,1.661,3.369,0.109,0.155,0.224,3.578
83,10.280,3,5.485,4,4.230,3,42,0.566,0.954,2.889,0.063,0.167,0.240,3.129
84,15.258,5,8.759,6,5.768,5,47,0.731,1.567,3.668,0.105,0.191,0.272,3.923
85,13.712,4,7.552,5,5.552,4,51,0.608,1.335,3.753,0.084,0.219,0.301,4.053
86,9.505,3,5.752,4,3.271,3,23,0.482,1.035,2.030,0.062,0.094,0.134,2.152
87,13.024,4,7.105,5,5.358,4,51,0.561,1.289,3.605,0.090,0.205,0.295,3.900
88,6.819,2,4.312,3,2.129,2,14,0.378,0.664,1.343,0.041,0.057,0.081,1.415
89,11.963,4,7.420,5,3.942,4,23,0.600,1.375,2.328,0.085,0.092,0.133,2.448
90,10.358,3,6.004,4,3.848,3,32,0.505,1.009,2.498,0.062,0.130,0.187,2.677
91,9.751,3,5.792,4,3.497,3,28,0.462,0.968,2.250,0.063,0.114,0.162,2.400
92,33.440,9,14.449,10,17.989,9,219,1.003,2.984,13.297,0.188,0.883,1.250,14.727
93,21.630,6,10.429,7,10.463,6,113,0.738,2.026,7.482,0.145,0.457,0.649,8.195
94,6.809,2,4.336,3,2.083,2,14,0.390,0.653,1.277,0.046,0.056,0.081,1.350
95,22.581,4,7.051,5,14.979,4,214,0.551,1.283,11.951,0.087,0.872,1.214,13.451
96,35.327,9,14.694,10,19.526,9,238,1.107,3.048,14.494,0.217,0.972,1.373,16.126
97,10.153,3,5.792,4,3.815,3,33,0.546,0.991,2.498,0.062,0.132,0.188,2.678
98,13.092,4,7.032,5,5.463,4,50,0.598,1.286,3.640,0.088,0.202,0.289,3.926
99,42.216,6,10.006,7,31.459,6,444,0.751,2.037,25.933,0.131,1.850,2.536,29.169
100,18.605,4,7.371,5,10.648,4,132,0.586,1.336,8.155,0.086,0.550,0.770,9.099
101,6.836,2,4.368,3,2.062,2,14,0.406,0.649,1.265,0.041,0.056,0.080,1.338
102,9.283,3,5.787,4,3.017,3,20,0.479,0.967,1.816,0.072,0.079,0.112,1.916
103,17.161,4,7.312,5,9.259,4,120,0.590,1.289,6.962,0.085,0.482,0.683,7.799
104,23.537,5,8.609,6,14.271,5,195,0.657,1.578,11.034,0.113,0.791,1.112,12.372
105,9.915,3,5.859,4,3.579,3,30,0.477,0.993,2.327,0.065,0.120,0.170,2.489
106,15.936,5,8.610,6,6.652,5,63,0.674,1.610,4.477,0.108,0.251,0.362,4.835
107,24.358,7,11.426,8,12.088,7,132,0.845,2.297,8.746,0.148,0.537,0.762,9.569
108,6.754,2,4.389,3,1.917,2,11,0.448,0.672,1.125,0.039,0.044,0.062,1.180
109,9.823,3,5.863,4,3.495,3,25,0.465,1.084,2.165,0.073,0.101,0.142,2.296
110,9.703,3,5.932,4,3.280,3,19,0.490,1.115,1.962,0.069,0.080,0.111,2.066
111,10.110,3,5.639,4,3.979,3,36,0.492,0.993,2.605,0.065,0.145,0.206,2.807
112,9.524,3,5.957,4,3.095,3,20,0.472,1.013,1.868,0.067,0.081,0.116,1.970
113,14.611,4,7.229,5,6.808,4,73,0.574,1.352,4.863,0.086,0.300,0.423,5.332
114,25.259,6,10.258,7,14.226,6,183,0.775,2.032,10.571,0.128,0.736,1.041,11.816
115,35.399,11,17.015,12,17.188,11,170,1.196,3.668,12.096,0.248,0.686,0.981,13.148
116,39.175,11,17.754,12,20.110,11,222,1.311,3.778,14.422,0.268,0.890,1.265,15.878
117,20.066,5,8.864,6,10.543,5,126,0.659,1.681,7.855,0.112,0.506,0.724,8.718
118,26.833,8,13.252,9,12.632,8,132,0.949,2.675,8.772,0.205,0.525,0.750,9.567
119,9.376,3,5.721,4,3.181,3,21,0.474,0.976,1.904,0.068,0.084,0.121,2.014
120,10.337,3,5.666,4,4.190,3,40,0.481,1.006,2.870,0.071,0.162,0.228,3.099
121,68.559,21,36.588,25,29.100,21,255,2.871,7.109,19.585,0.488,1.061,1.487,21.145
122,31.723,9,16.711,11,13.763,9,134,1.249,3.067,9.384,0.233,0.557,0.779,10.227
123,9.878,3,6.280,4,3.100,3,18,0.499,1.033,1.845,0.065,0.072,0.103,1.940
124,29.686,10,16.162,11,12.407,10,102,1.117,3.489,8.001,0.227,0.415,0.584,8.563
125,10.367,3,6.128,4,3.740,3,32,0.499,1.001,2.409,0.067,0.131,0.188,2.586
126,18.707,5,9.167,6,8.860,5,100,0.680,1.688,6.370,0.117,0.408,0.579,7.018
127,20.159,6,10.250,7,9.093,6,91,0.816,2.020,6.207,0.135,0.372,0.524,6.763
128,23.140,7,11.957,8,10.339,7,103,0.844,2.362,6.946,0.154,0.422,0.595,7.553
129,15.175,5,9.044,6,5.444,5,37,0.687,1.704,3.340,0.115,0.152,0.213,3.538
130,16.888,5,8.855,6,7.266,5,68,0.767,1.801,4.860,0.118,0.282,0.398,5.266
131,28.569,5,9.046,6,18.867,5,285,0.656,1.728,15.008,0.108,1.139,1.557,16.913
132,12.228,4,7.682,5,3.953,4,21,0.593,1.351,2.239,0.084,0.084,0.120,2.349
133,12.471,4,7.244,5,4.478,4,35,0.749,1.309,2.806,0.089,0.139,0.199,2.992
134,13.086,4,7.370,5,5.117,4,44,0.599,1.368,3.321,0.084,0.183,0.252,3.563
135,14.042,4,7.535,5,5.916,4,61,0.591,1.316,4.083,0.101,0.251,0.353,4.447
136,10.079,3,6.097,4,3.475,3,26,0.508,1.002,2.135,0.065,0.108,0.149,2.273
137,17.256,5,8.954,6,7.618,5,76,0.684,1.731,5.231,0.116,0.311,0.442,5.700
138,19.745,6,10.372,7,8.606,6,80,0.767,2.008,5.850,0.139,0.326,0.461,6.307
139,21.604,7,11.864,8,8.897,7,79,0.843,2.330,5.833,0.148,0.324,0.454,6.275
140,21.666,6,10.412,7,10.479,6,112,0.774,2.054,7.443,0.126,0.466,0.647,8.162
141,19.461,5,8.791,6,9.996,5,121,0.674,1.679,7.269,0.109,0.491,0.690,8.049
142,21.318,6,10.649,7,9.759,6,102,0.910,2.070,6.736,0.134,0.414,0.592,7.375
143,20.065,6,10.461,7,8.742,6,85,0.861,2.060,5.903,0.136,0.346,0.498,6.420
144,15.573,5,8.794,6,6.117,5,51,0.662,1.716,3.967,0.122,0.207,0.297,4.244
145,20.269,7,11.669,8,7.735,7,54,0.865,2.370,4.706,0.153,0.217,0.312,4.989
146,22.074,6,10.643,7,10.651,6,122,0.780,2.055,7.577,0.132,0.498,0.696,8.351
147,21.868,6,10.444,7,10.599,6,120,0.825,2.024,7.659,0.127,0.485,0.678,8.407
148,15.201,5,8.883,6,5.656,5,42,0.662,1.719,3.506,0.118,0.166,0.237,3.729
149,15.505,5,8.887,6,5.935,5,44,0.684,1.743,3.741,0.117,0.176,0.259,3.985
150,20.131,6,10.392,7,8.970,6,90,0.769,2.040,6.189,0.126,0.374,0.525,6.745
151,24.102,6,10.251,7,13.098,6,162,0.753,2.015,9.658,0.121,0.654,0.941,10.760
152,15.149,5,9.398,6,5.085,5,30,0.666,1.682,2.961,0.120,0.122,0.170,3.115
153,17.610,6,10.621,7,6.235,6,40,0.754,1.992,3.704,0.134,0.162,0.229,3.914
154,17.923,6,10.712,7,6.450,6,43,0.761,2.107,3.939,0.139,0.174,0.247,4.162
155,16.370,5,9.624,6,5.951,5,46,0.795,1.744,3.783,0.120,0.187,0.269,4.031
156,10.376,3,6.425,4,3.424,3,22,0.527,0.989,1.993,0.076,0.089,0.129,2.111
157,12.354,4,7.886,5,3.886,4,23,0.582,1.326,2.277,0.083,0.094,0.132,2.398
158,12.414,4,7.769,5,4.064,4,24,0.581,1.338,2.366,0.083,0.096,0.138,2.496
159,16.309,5,9.376,6,6.152,5,50,0.781,1.657,3.876,0.116,0.201,0.286,4.148
160,16.686,5,9.497,6,6.529,5,60,0.659,1.674,4.342,0.104,0.240,0.344,4.674
161,9.633,3,6.156,4,2.995,3,19,0.482,1.016,1.801,0.061,0.076,0.112,1.899
162,12.539,4,7.816,5,4.135,4,27,0.587,1.371,2.507,0.092,0.109,0.153,2.646
163,14.122,4,7.677,5,5.845,4,60,0.600,1.346,4.032,0.094,0.251,0.353,4.388
164,74.505,23,42.321,27,29.274,23,247,2.910,7.934,19.062,0.518,0.997,1.417,20.468
165,10.261,3,6.349,4,3.415,3,26,0.498,1.059,2.170,0.066,0.104,0.149,2.310
166,13.179,4,7.778,5,4.817,4,36,0.585,1.477,3.020,0.092,0.144,0.206,3.213
167,10.047,3,6.170,4,3.366,3,22,0.511,1.016,2.006,0.068,0.089,0.130,2.122
168,12.838,4,7.833,5,4.426,4,30,0.580,1.341,2.812,0.099,0.123,0.181,2.970
169,26.106,8,15.807,10,9.139,8,66,1.160,2.718,5.717,0.182,0.269,0.384,6.073
170,16.483,5,9.679,6,6.119,5,51,0.684,1.731,3.999,0.118,0.206,0.293,4.279
171,13.313,4,7.806,5,4.928,4,42,0.579,1.365,3.255,0.085,0.167,0.235,3.477
172,24.501,7,14.090,9,9.367,7,79,1.044,2.497,6.171,0.164,0.323,0.457,6.623
173,16.209,5,9.506,6,6.031,5,51,0.672,1.679,3.889,0.117,0.210,0.296,4.172
174,12.826,4,7.679,5,4.553,4,33,0.593,1.382,2.803,0.088,0.135,0.194,2.981
175,16.968,5,9.815,6,6.466,5,53,0.687,1.692,4.182,0.116,0.217,0.315,4.502
176,16.290,5,9.949,6,5.646,5,42,0.695,1.717,3.523,0.120,0.172,0.246,3.741
177,17.278,5,9.775,6,6.812,5,66,0.692,1.641,4.537,0.120,0.266,0.379,4.915
178,19.918,6,10.907,7,8.252,6,76,0.759,2.051,5.589,0.133,0.305,0.440,6.023
179,10.312,3,6.373,4,3.024,3,18,0.916,1.031,1.816,0.069,0.072,0.104,1.909
180,17.263,5,9.583,6,6.912,5,56,0.768,1.867,4.580,0.119,0.230,0.324,4.898
181,18.734,6,11.139,7,6.803,6,54,0.792,2.006,4.347,0.127,0.217,0.306,4.632
182,20.103,6,11.164,7,8.109,6,75,0.830,1.997,5.428,0.129,0.303,0.432,5.867
183,20.770,6,11.563,7,8.374,6,81,0.833,2.046,5.679,0.133,0.317,0.466,6.151
184,17.982,6,11.024,7,6.203,6,39,0.755,2.081,3.819,0.144,0.155,0.225,4.028
185,20.613,6,11.222,7,8.593,6,81,0.798,1.998,5.836,0.135,0.320,0.462,6.307
186,20.879,6,11.466,7,8.651,6,88,0.761,2.000,5.933,0.131,0.347,0.490,6.438
187,12.683,4,7.974,5,4.144,4,29,0.565,1.334,2.548,0.087,0.116,0.168,2.700
188,15.157,5,9.555,6,4.862,5,27,0.740,1.710,2.871,0.110,0.107,0.154,3.019
189,15.862,5,9.718,6,5.430,5,38,0.714,1.670,3.306,0.107,0.153,0.222,3.506
190,26.368,8,14.478,9,10.944,8,100,0.945,2.700,7.375,0.188,0.395,0.576,7.968
191,29.952,9,15.934,10,12.973,9,129,1.045,3.088,8.761,0.201,0.507,0.729,9.547
192,20.813,6,11.389,7,8.558,6,82,0.866,2.016,5.823,0.144,0.321,0.467,6.302
193,26.039,8,14.351,9,10.747,8,101,0.941,2.724,7.257,0.178,0.397,0.569,7.841
194,16.046,5,9.528,6,5.851,5,46,0.666,1.745,3.733,0.103,0.178,0.258,3.976
195,16.004,5,9.962,6,5.365,5,38,0.677,1.649,3.278,0.107,0.150,0.219,3.482
196,22.853,7,13.207,8,8.766,7,78,0.881,2.342,5.783,0.164,0.308,0.443,6.219
197,84.236,26,48.828,30,32.261,26,270,3.147,8.805,20.909,0.556,1.066,1.533,22.426
198,96.232,31,59.698,36,32.517,31,217,4.017,10.507,19.828,0.692,0.858,1.252,20.955
199,16.695,5,10.243,6,5.786,5,44,0.665,1.737,3.642,0.127,0.173,0.252,3.875
200,33.463,10,19.786,12,12.337,10,101,1.339,3.389,7.861,0.215,0.407,0.577,8.414
201,40.186,12,23.580,14,15.084,12,126,1.521,4.220,9.832,0.272,0.508,0.724,10.529
202,109.066,35,66.402,40,38.289,35,257,4.376,12.022,23.564,0.809,1.045,1.488,24.938
203,45.463,13,28.338,17,14.998,13,111,2.127,4.495,9.434,0.298,0.441,0.630,10.025
204,39.596,11,21.131,12,17.211,11,177,1.253,3.809,11.764,0.250,0.701,1.009,12.843
205,30.559,9,16.902,10,12.593,9,121,1.065,3.079,8.517,0.196,0.492,0.699,9.223
206,14.102,4,8.738,5,4.774,4,37,0.590,1.325,3.039,0.088,0.148,0.211,3.238
207,27.126,8,15.158,9,11.012,8,102,0.956,2.770,7.387,0.182,0.414,0.667,8.061
208,13.896,4,8.758,5,4.554,4,33,0.585,1.417,2.892,0.092,0.132,0.192,3.068
209,14.420,4,8.933,5,4.794,4,37,0.692,1.373,3.000,0.092,0.149,0.211,3.196
210,14.421,4,8.812,5,5.007,4,39,0.603,1.430,3.246,0.086,0.156,0.229,3.466
211,14.307,4,8.846,5,4.867,4,36,0.595,1.412,3.042,0.092,0.143,0.206,3.232
212,33.402,10,19.308,11,12.846,10,115,1.248,3.428,8.465,0.223,0.461,0.660,9.102
213,105.454,28,57.387,32,44.481,28,456,3.586,9.692,30.828,0.624,1.835,2.601,33.671
214,86.641,25,51.791,29,31.318,25,261,3.532,8.736,20.316,0.557,1.051,1.488,21.741
215,81.800,24,49.608,28,29.035,24,240,3.156,8.149,18.753,0.530,0.968,1.372,20.076
216,17.393,5,10.605,6,6.098,5,45,0.689,1.751,3.819,0.110,0.193,0.266,4.068
217,14.206,4,9.154,5,4.450,4,33,0.602,1.336,2.774,0.089,0.134,0.187,2.946
218,78.637,23,47.635,27,27.977,23,223,3.024,7.795,17.841,0.514,0.895,1.276,19.046
219,95.988,29,60.265,34,32.069,29,229,3.654,9.842,19.878,0.646,0.925,1.310,21.094
220,149.603,44,90.641,50,53.547,44,432,5.415,14.995,34.424,0.990,1.742,2.481,36.878
221,148.903,44,90.306,50,53.244,44,406,5.353,15.209,33.674,0.991,1.658,2.320,35.935
222,270.340,81,166.821,92,93.732,81,684,9.788,27.670,59.133,1.826,2.778,3.951,62.865
223,92.292,28,57.664,32,30.951,28,212,3.677,9.749,19.110,0.623,0.861,1.223,20.228
224,92.365,28,59.180,33,29.468,28,186,3.718,9.611,17.781,0.627,0.757,1.075,18.782
225,165.806,50,104.742,57,54.905,50,377,6.158,17.045,33.998,1.093,1.522,2.169,35.994
