init: 64.3 s, cells=190989, steps=388
step 133/388: conv=True iters=4 wall=10.32 s
step 134/388: conv=True iters=4 wall=10.54 s
step 135/388: conv=True iters=4 wall=9.97 s
step 136/388: conv=True iters=3 wall=7.43 s
step 137/388: conv=True iters=5 wall=11.94 s
step 138/388: conv=True iters=5 wall=11.67 s
step 139/388: conv=True iters=7 wall=17.12 s
step 140/388: conv=True iters=6 wall=14.26 s
step 141/388: conv=True iters=5 wall=12.09 s
step 142/388: conv=True iters=6 wall=14.95 s
step 143/388: conv=True iters=6 wall=14.34 s
step 144/388: conv=True iters=5 wall=12.44 s
step 145/388: conv=True iters=7 wall=15.94 s
step 146/388: conv=True iters=6 wall=13.70 s
step 147/388: conv=True iters=6 wall=15.37 s
step 148/388: conv=True iters=5 wall=11.67 s
step 149/388: conv=True iters=5 wall=11.84 s
step 150/388: conv=True iters=6 wall=14.76 s
step 151/388: conv=True iters=6 wall=14.20 s
step 152/388: conv=True iters=5 wall=12.25 s
step 153/388: conv=True iters=6 wall=13.55 s
step 154/388: conv=True iters=6 wall=14.47 s
step 155/388: conv=True iters=5 wall=12.78 s
step 156/388: conv=True iters=3 wall=8.26 s
step 157/388: conv=True iters=4 wall=10.11 s
step 158/388: conv=True iters=4 wall=10.38 s
step 159/388: conv=True iters=5 wall=11.98 s
step 160/388: conv=True iters=5 wall=12.38 s
step 161/388: conv=True iters=3 wall=7.56 s
step 162/388: conv=True iters=4 wall=10.22 s
step 163/388: conv=True iters=4 wall=10.82 s
step 164/388: conv=True iters=20 wall=45.86 s
step 165/388: conv=True iters=3 wall=7.59 s
step 166/388: conv=True iters=4 wall=9.76 s
step 167/388: conv=True iters=3 wall=7.52 s
step 168/388: conv=True iters=4 wall=10.05 s
step 169/388: conv=True iters=5 wall=12.10 s
step 170/388: conv=True iters=5 wall=12.27 s
step 171/388: conv=True iters=4 wall=10.13 s
step 172/388: conv=True iters=6 wall=14.38 s
step 173/388: conv=True iters=5 wall=12.71 s
step 174/388: conv=True iters=4 wall=8.82 s
step 175/388: conv=True iters=5 wall=12.61 s
step 176/388: conv=True iters=5 wall=11.66 s
step 177/388: conv=True iters=5 wall=12.43 s
step 178/388: conv=True iters=6 wall=14.45 s
step 179/388: conv=True iters=3 wall=7.02 s
step 180/388: conv=True iters=5 wall=12.52 s
step 181/388: conv=True iters=6 wall=13.50 s
step 182/388: conv=True iters=6 wall=13.89 s
step 183/388: conv=True iters=6 wall=14.31 s
step 184/388: conv=True iters=6 wall=11.96 s
step 185/388: conv=True iters=6 wall=13.42 s
step 186/388: conv=True iters=6 wall=13.45 s
step 187/388: conv=True iters=4 wall=8.74 s
step 188/388: conv=True iters=4 wall=8.83 s
step 189/388: conv=True iters=5 wall=10.80 s
step 190/388: conv=True iters=8 wall=24.08 s
step 191/388: conv=True iters=22 wall=64.64 s
step 192/388: conv=True iters=6 wall=22.54 s
step 193/388: conv=True iters=8 wall=31.20 s
step 194/388: conv=True iters=5 wall=17.82 s
step 195/388: conv=True iters=5 wall=15.64 s
step 196/388: conv=True iters=7 wall=25.71 s
step 197/388: conv=True iters=23 wall=82.94 s
step 198/388: conv=True iters=45 wall=104.81 s
step 199/388: conv=True iters=5 wall=11.51 s
step 200/388: conv=True iters=8 wall=19.59 s
step 201/388: conv=True iters=9 wall=21.26 s
step 202/388: conv=True iters=10 wall=24.46 s
step 203/388: conv=True iters=22 wall=57.23 s
step 204/388: conv=True iters=11 wall=26.89 s
step 205/388: conv=True iters=10 wall=25.43 s
step 206/388: conv=True iters=4 wall=9.97 s
step 207/388: conv=True iters=10 wall=26.60 s
step 208/388: conv=True iters=4 wall=9.96 s
step 209/388: conv=True iters=4 wall=10.07 s
step 210/388: conv=True iters=4 wall=10.26 s
step 211/388: conv=True iters=4 wall=10.40 s
step 212/388: conv=True iters=8 wall=21.35 s
step 213/388: conv=True iters=23 wall=63.35 s
step 214/388: conv=True iters=30 wall=77.35 s
step 215/388: conv=True iters=25 wall=66.47 s
step 216/388: conv=True iters=4 wall=10.11 s
step 217/388: conv=True iters=4 wall=10.09 s
step 218/388: conv=True iters=38 wall=97.72 s
step 219/388: conv=True iters=42 wall=106.99 s
step 220/388: conv=True iters=43 wall=112.87 s
step 221/388: conv=True iters=62 wall=158.28 s
step 222/388: conv=True iters=62 wall=160.73 s
step 223/388: conv=True iters=37 wall=94.27 s
step 224/388: conv=True iters=43 wall=108.87 s
step 225/388: conv=True iters=61 wall=155.66 s
step 226/388: conv=True iters=62 wall=159.01 s
step 227/388: conv=True iters=65 wall=166.95 s
step 228/388: conv=True iters=59 wall=156.93 s
step 229/388: conv=True iters=3 wall=7.59 s
step 230/388: conv=True iters=69 wall=187.01 s
step 231/388: conv=True iters=38 wall=97.15 s
step 232/388: conv=True iters=60 wall=152.72 s
step 233/388: conv=True iters=91 wall=236.30 s
step 234/388: conv=True iters=91 wall=230.78 s
step 235/388: conv=True iters=89 wall=228.64 s
step 236/388: conv=True iters=83 wall=210.26 s
step 237/388: conv=True iters=86 wall=218.99 s
step 238/388: conv=True iters=27 wall=70.10 s
step 239/388: conv=True iters=39 wall=100.27 s
step 240/388: conv=True iters=7 wall=18.01 s
step 241/388: conv=True iters=8 wall=20.08 s
step 242/388: conv=True iters=5 wall=13.15 s
step 243/388: conv=True iters=25 wall=59.37 s
step 244/388: conv=True iters=4 wall=11.26 s
step 245/388: conv=True iters=7 wall=16.76 s
step 246/388: conv=True iters=3 wall=7.86 s
step 247/388: conv=True iters=3 wall=8.03 s
step 248/388: conv=True iters=8 wall=21.83 s
step 249/388: conv=True iters=6 wall=15.04 s
step 250/388: conv=True iters=3 wall=7.84 s
step 251/388: conv=True iters=4 wall=11.59 s
step 252/388: conv=True iters=3 wall=8.78 s
step 253/388: conv=True iters=3 wall=8.26 s
step 254/388: conv=True iters=5 wall=14.36 s
step 255/388: conv=True iters=2 wall=5.42 s
step 256/388: conv=True iters=6 wall=15.85 s
step 257/388: conv=True iters=6 wall=16.22 s
step 258/388: conv=True iters=6 wall=15.62 s
step 259/388: conv=True iters=7 wall=17.29 s
step 260/388: conv=True iters=7 wall=18.89 s
step 261/388: conv=True iters=5 wall=12.97 s
step 262/388: conv=True iters=8 wall=20.64 s
step 263/388: conv=True iters=4 wall=10.92 s
step 264/388: conv=True iters=6 wall=16.12 s
step 265/388: conv=True iters=5 wall=12.33 s
step 266/388: conv=True iters=8 wall=21.79 s
step 267/388: conv=True iters=5 wall=12.69 s
step 268/388: conv=True iters=25 wall=67.41 s
step 269/388: conv=True iters=8 wall=20.58 s
step 270/388: conv=True iters=11 wall=30.57 s
