step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
63,0.103,3,0.047,4,0.044,3,3,0.012,0.000,0.000,0.000,0.000,0.000,0.000
64,0.112,3,0.050,4,0.055,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
65,0.102,3,0.049,4,0.047,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
66,0.095,3,0.042,4,0.045,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
67,0.101,3,0.047,4,0.044,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
68,0.102,3,0.045,4,0.051,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
69,0.101,3,0.047,4,0.048,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
70,0.090,3,0.039,4,0.043,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
71,0.100,3,0.046,4,0.047,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
72,0.101,3,0.044,4,0.050,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
73,0.102,3,0.047,4,0.049,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
74,0.130,4,0.055,5,0.067,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
75,0.104,3,0.052,4,0.044,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
76,0.112,3,0.053,4,0.049,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
77,0.110,3,0.053,4,0.047,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
78,0.111,3,0.051,4,0.052,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
79,0.096,3,0.044,4,0.044,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
80,0.109,3,0.052,4,0.048,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
81,0.100,3,0.048,4,0.042,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
82,0.106,3,0.049,4,0.048,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
83,0.107,3,0.047,4,0.050,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
84,0.105,3,0.054,4,0.042,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
85,0.128,4,0.060,5,0.060,4,4,0.008,0.000,0.000,0.000,0.000,0.000,0.000
86,0.106,3,0.049,4,0.049,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
87,0.101,3,0.043,4,0.051,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
88,0.101,3,0.044,4,0.049,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
89,0.101,3,0.050,4,0.046,3,3,0.005,0.000,0.000,0.000,0.000,0.000,0.000
90,0.101,3,0.044,4,0.047,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
91,0.097,3,0.045,4,0.043,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
92,0.109,3,0.050,4,0.051,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
93,0.104,3,0.047,4,0.051,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
94,0.102,3,0.048,4,0.047,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
95,0.097,3,0.043,4,0.045,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
96,0.140,3,0.085,4,0.046,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
97,0.173,3,0.080,4,0.065,3,3,0.028,0.000,0.000,0.000,0.000,0.000,0.000
98,0.094,3,0.041,4,0.045,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
99,0.095,3,0.043,4,0.044,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
100,0.104,3,0.048,4,0.046,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
